Name	       Mass	   Gamma	    Spin    Isospin  I3      B		strange		charge
Dl1910zer    1.9100000    0.2500000         0.5      1.5     -0.5    1		0	0
Dl1910min    1.9100000    0.2500000         0.5      1.5     -1.5    1		0	-1
Dl1910ppb    1.9100000    0.2500000         0.5      1.5     -1.5    -1		0	-2
Dl1910plb    1.9100000    0.2500000         0.5      1.5     -0.5    -1		0	-1	
Dl1910zrb    1.9100000    0.2500000         0.5      1.5      0.5    -1		0	0
Dl1910mnb    1.9100000    0.2500000         0.5      1.5      1.5    -1		0	1
Dl1920plp    1.9200000    0.2000000         1.5      1.5      1.5    1		0	2
Dl1920plu    1.9200000    0.2000000         1.5      1.5      0.5    1		0	1
Dl1920zer    1.9200000    0.2000000         1.5      1.5     -0.5    1		0	0
Dl1920min    1.9200000    0.2000000         1.5      1.5     -1.5    1		0	-1
Dl1920ppb    1.9200000    0.2000000         1.5      1.5     -1.5    -1		0	-2
Dl1920plb    1.9200000    0.2000000         1.5      1.5     -0.5    -1		0	-1
Dl1920zrb    1.9200000    0.2000000         1.5      1.5      0.5    -1		0	0
Dl1920mnb    1.9200000    0.2000000         1.5      1.5      1.5    -1		0	1
Dl1930plp    1.9300000    0.3500000         2.5      1.5      1.5    1		0	2
Dl1930plu    1.9300000    0.3500000         2.5      1.5      0.5    1		0	1
Dl1930zer    1.9300000    0.3500000         2.5      1.5     -0.5    1		0	0
Dl1930min    1.9300000    0.3500000         2.5      1.5     -1.5    1		0	-1
Dl1930ppb    1.9300000    0.3500000         2.5      1.5     -1.5    -1		0	-2
Dl1930plb    1.9300000    0.3500000         2.5      1.5     -0.5    -1		0	-1
Dl1930zrb    1.9300000    0.3500000         2.5      1.5      0.5    -1		0	0
Dl1930mnb    1.9300000    0.3500000         2.5      1.5      1.5    -1		0	1
Dl1950plp    1.9500000    0.3000000         3.5      1.5      1.5    1		0	2
Dl1950plu    1.9500000    0.3000000         3.5      1.5      0.5    1		0	1
Dl1950zer    1.9500000    0.3000000         3.5      1.5     -0.5    1		0	0
Dl1950min    1.9500000    0.3000000         3.5      1.5     -1.5    1		0	-1
Dl1950ppb    1.9500000    0.3000000         3.5      1.5     -1.5    -1		0	-2		
Dl1950plb    1.9500000    0.3000000         3.5      1.5     -0.5    -1		0	-1
Dl1950zrb    1.9500000    0.3000000         3.5      1.5      0.5    -1		0	0
Dl1950mnb    1.9500000    0.3000000         3.5      1.5      1.5    -1		0	1
Dl2420plp    2.4200000    0.4000000         5.5      1.5      1.5    1		0	2
Dl2420plu    2.4200000    0.4000000         5.5      1.5      0.5    1		0	1
Dl2420zer    2.4200000    0.4000000         5.5      1.5     -0.5    1		0	0	
Dl2420min    2.4200000    0.4000000         5.5      1.5     -1.5    1		0	-1
Dl2420ppb    2.4200000    0.4000000         5.5      1.5     -1.5    -1		0	-2
Dl2420plb    2.4200000    0.4000000         5.5      1.5     -0.5    -1		0	-1
Dl2420zrb    2.4200000    0.4000000         5.5      1.5      0.5    -1		0	0
Dl2420mnb    2.4200000    0.4000000         5.5      1.5      1.5    -1		0	1
Lm1115zer    1.1156830    2.500e-15         0.5      0.       0.     1		-1	0
Lm1115zrb    1.1156830    2.500e-15         0.5      0.       0.     -1		1	0		
Lm1405zer    1.4060000    0.0500000         0.5      0.       0.     1		-1	0
Lm1405zrb    1.4060000    0.0500000         0.5      0.       0.     -1		1	0
Lm1520zer    1.5195000    0.0156000         1.5      0.       0.     1		-1	0
Lm1520zrb    1.5195000    0.0156000         1.5      0.       0.     -1		1	0
Lm1670zer    1.6700000    0.0350000         0.5      0.       0.     1		-1	0	
Lm1670zrb    1.6700000    0.0350000         0.5      0.       0.     -1		1	0
Lm1690zer    1.6900000    0.0600000         1.5      0.       0.     1		-1	0	
Lm1690zrb    1.6900000    0.0600000         1.5      0.       0.     -1		1	0
Lm1820zer    1.8200000    0.8000000         0.5      0.       0.     1		-1	0
